Model,Accuracy,Precision,Recall,F1 Score
DNN,0.9887248769910767,0.9832827749934054,0.9943647882627542,0.9887927318545044
LSTM,0.9925659472422063,0.9954172696575012,0.9896882494004796,0.9925444925444925
GRU,0.990947242206235,0.9958822817003754,0.9859712230215827,0.9909019702355848
